Dist,Incumbent_x,PVI,Clinton %,Trump %,Obama %,Romney %,split_x,state,num,District,2017 CPVI,Incumbent_y,Last result,Cook,IE,Sabato,Politico,Daily Kos,RCP,Niskanen,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence,split_y
NY-08,Hakeem Jeffries (D),D+36,84.2,13.4,89.2,10.2,"['NY', '08']",NY,8,,,,,,,,,,,,,,,,,,,,,,,,
NY-09,Yvette Clarke (D),D+34,82.9,14.3,85.1,13.9,"['NY', '09']",NY,9,,,,,,,,,,,,,,,,,,,,,,,,
NY-10,Jerrold Nadler (D),D+26,77.5,18.6,73.5,25.0,"['NY', '10']",NY,10,,,,,,,,,,,,,,,,,,,,,,,,
NY-11,Max Rose (D),R+3,43.5,53.3,51.6,47.2,"['NY', '11']",NY,11,New York 11,R+3,Max Rose  (D),53.0% D,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Lean D,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,Tossup,6.0,0.8571428571428571,"['New York', '11']"
NY-12,Carolyn Maloney (D),D+31,82.4,13.3,76.8,21.5,"['NY', '12']",NY,12,,,,,,,,,,,,,,,,,,,,,,,,
NY-13,Adriano Espaillat (D),D+43,91.8,5.4,94.6,4.6,"['NY', '13']",NY,13,,,,,,,,,,,,,,,,,,,,,,,,
NY-14,Alexandria Ocasio-Cortez (D),D+29,77.3,19.7,80.6,18.3,"['NY', '14']",NY,14,,,,,,,,,,,,,,,,,,,,,,,,
NY-15,Jose E. Serrano (D),D+44,93.5,4.9,96.7,3.0,"['NY', '15']",NY,15,,,,,,,,,,,,,,,,,,,,,,,,
NY-16,Eliot Engel (D),D+24,74.5,22.3,73.6,25.5,"['NY', '16']",NY,16,,,,,,,,,,,,,,,,,,,,,,,,
NY-17,Nita Lowey (D),D+7,58.0,38.1,57.0,41.8,"['NY', '17']",NY,17,,,,,,,,,,,,,,,,,,,,,,,,
NY-18,Sean Patrick Maloney (D),R+1,46.6,48.7,51.4,47.1,"['NY', '18']",NY,18,New York 18,R+1,Sean Patrick Maloney  (D),55.5% D,Likely D,Safe D,Likely D,Lean D,Safe D,Likely D,Safe D,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,Likely D,3.0,0.42857142857142855,"['New York', '18']"
NY-19,Antonio Delgado (D),R+2,43.5,50.2,52.0,45.8,"['NY', '19']",NY,19,New York 19,R+2,Antonio Delgado  (D),51.4% D,Lean D,Safe D,Likely D,Lean D,Likely D,Likely D,Lean D,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,Lean D,3.0,0.42857142857142855,"['New York', '19']"
NY-20,Paul Tonko (D),D+7,53.3,40.0,59.1,38.7,"['NY', '20']",NY,20,,,,,,,,,,,,,,,,,,,,,,,,
NY-21,Elise Stefanik (R),R+4,39.4,53.1,52.1,46.0,"['NY', '21']",NY,21,New York 21,R+4,Elise Stefanik  (R),56.1% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Tossup,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Safe R,5.0,0.7142857142857143,"['New York', '21']"
NY-22,Anthony Brindisi (D),R+6,38.9,54.2,48.7,49.1,"['NY', '22']",NY,22,New York 22,R+6,Anthony Brindisi  (D),50.8% D,Tossup,Tilt D,Tossup,Tossup,Tossup,Tossup,Lean D,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,Tossup,5.0,0.7142857142857143,"['New York', '22']"
NY-23,Tom Reed (R),R+6,39.2,53.9,48.3,49.5,"['NY', '23']",NY,23,New York 23,R+6,Tom Reed  (R),54.2% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['New York', '23']"
NY-24,John Katko (R),D+3,48.6,45.0,57.0,41.1,"['NY', '24']",NY,24,New York 24,D+3,John Katko  (R),52.6% R,Lean R,Tilt R,Lean R,Lean R,Lean R,Lean R,Likely R,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Lean R,5.0,0.7142857142857143,"['New York', '24']"
NY-25,Joe Morelle (D),D+8,54.9,38.7,58.6,39.3,"['NY', '25']",NY,25,,,,,,,,,,,,,,,,,,,,,,,,
NY-26,Brian Higgins (D),D+11,57.5,37.9,63.9,34.3,"['NY', '26']",NY,26,,,,,,,,,,,,,,,,,,,,,,,,
NY-27,Chris Collins (R),R+11,35.0,59.3,42.8,55.2,"['NY', '27']",NY,27,New York 27,R+11,Chris Jacobs  (R),49.1% R,Safe R,Safe R,Likely R,Likely R,Safe R,Likely R,Likely R,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,4.0,0.5714285714285714,"['New York', '27']"
NC-01,G.K. Butterfield (D),D+17,65.9,31.1,,,"['NC', '01']",NC,1,North Carolina 1,D+5,G. K. Butterfield  (D),69.8% D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Safe D,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Safe D,6.0,0.8571428571428571,"['North Carolina', '1']"
NC-02,George Holding (R),R+7,44.6,50.9,,,"['NC', '02']",NC,2,North Carolina 2,D+9,George Holding  (R)  (Retiring),51.3% R,Likely D  (flip),Likely D  (flip),Safe D  (flip),Safe D  (flip),Safe D  (flip),Safe D  (flip),Safe D  (flip),0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,Safe D,5.0,0.7142857142857143,"['North Carolina', '2']"
NC-03,Jones (R),R+12,37.0,59.6,,,"['NC', '03']",NC,3,,,,,,,,,,,,,,,,,,,,,,,,
NC-04,David Price (D),D+17,65.7,29.0,,,"['NC', '04']",NC,4,,,,,,,,,,,,,,,,,,,,,,,,
NC-05,Virginia Foxx (R),R+10,39.2,56.6,,,"['NC', '05']",NC,5,,,,,,,,,,,,,,,,,,,,,,,,
NC-06,Mark Walker (R),R+9,41.0,55.6,,,"['NC', '06']",NC,6,North Carolina 6,D+8,Mark Walker  (R)  (Retiring),56.5% R,Likely D  (flip),Likely D  (flip),Safe D  (flip),Safe D  (flip),Safe D  (flip),Safe D  (flip),Safe D  (flip),0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,Safe D,5.0,0.7142857142857143,"['North Carolina', '6']"
NC-07,David Rouzer (R),R+9,39.6,56.9,,,"['NC', '07']",NC,7,,,,,,,,,,,,,,,,,,,,,,,,
NC-08,Richard Hudson (R),R+8,40.7,55.5,,,"['NC', '08']",NC,8,North Carolina 8,R+5,Richard Hudson  (R),55.3% R,Lean R,Lean R,Lean R,Lean R,Likely R,Likely R,Lean R,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean R,5.0,0.7142857142857143,"['North Carolina', '8']"
NC-09,(),R+8,42.4,53.5,,,"['NC', '09']",NC,9,North Carolina 9,R+7,Dan Bishop  (R),50.7% R,Likely R,Safe R,Safe R,Likely R,Safe R,Likely R,Lean R,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,3.0,0.42857142857142855,"['North Carolina', '9']"
